street,traffic volume,accident count,crash_rate,latitude,longitude,risk level,Frequent_Day,Frequent_Hour,label
"OGDEN DR, Los Angeles",96897,41,0.04,34.0657094,-118.3592617,low,Friday,2,6
"OLIVE ST, Los Angeles",48853,63,0.13,33.9872024,-118.4555333,low,Monday,18,19
"OLMSTED AV, Los Angeles",1236,465,37.62,34.0145904,-118.3280796,medium,Wednesday,19,17
"OLYMPIC BL, Los Angeles",1677805,4,0.0,34.0139923,-118.2880286,low,Saturday,20,17
"OPP ST, Los Angeles",18868,4842,25.66,33.7825212,-118.2695516,low,Monday,20,4
"ORANGE DR, Los Angeles",14668,95,0.65,33.7962236,-118.1764907,low,Thursday,12,11
"ORANGE GROVE AV, Los Angeles",754,243,32.23,34.2991556,-118.4328526,low,Tuesday,20,3
"ORCHARD AV, Los Angeles",8124,84,1.03,33.95795,-118.2881648,low,Wednesday,17,10
"ORCHARD ST, Los Angeles",851,102,11.99,34.0752053,-118.0277237,low,Friday,19,18
"ORION AV, Los Angeles",3766,4,0.11,34.2717368,-118.4715969,low,Saturday,23,3
"ORO VISTA AV, Los Angeles",4630,233,5.03,34.2572682,-118.3157779,low,Monday,12,23
"OSBORNE PL, Los Angeles",3116,50,1.6,34.2603535,-118.4010392,low,Friday,17,3
"OSBORNE ST, Los Angeles",220471,34,0.02,34.2557983,-118.4073167,low,Friday,21,3
"OTSEGO ST, Los Angeles",1205,1009,83.73,34.1626309,-118.4910735,high,Saturday,18,16
"OUTPOST DR, Los Angeles",21190,73,0.34,34.1042183,-118.3439063,low,Friday,15,6
"OVERLAND AV, Los Angeles",158312,33,0.02,34.0414761,-118.4245196,low,Tuesday,18,7
"OXFORD AV, Los Angeles",27213,522,1.92,33.9869031,-118.4559264,low,Friday,16,19
"OXNARD ST, Los Angeles",490143,388,0.08,34.179198,-118.603365,low,Friday,17,1
"PACIFIC AV, Los Angeles",405733,1871,0.46,33.7723341,-118.1937561,low,Sunday,21,11
"PACIFIC COAST HWY, Los Angeles",420312,1029,0.24,33.7894805,-118.1893842,low,Monday,19,11
"PACKARD ST, Los Angeles",12738,7,0.05,34.0500187,-118.3484696,low,Thursday,11,17
"PALA AV, Los Angeles",21588,48,0.22,34.2685782,-118.4197212,low,Monday,19,3
"PALISADES DR, Los Angeles",85042,35,0.04,34.0713728,-118.5625864,low,Wednesday,15,19
"PALMETTO ST, Los Angeles",9354,78,0.83,34.0402064,-118.2323486,low,Monday,18,21
"PALMS AV, Los Angeles",4915,23,0.47,34.0501046,-118.4107398,low,Friday,2,7
"PALMS BL, Los Angeles",45129,28,0.06,34.0247328,-118.4116152,low,Thursday,9,7
"PALOS VERDES DR, Los Angeles",48697,366,0.75,33.7347379,-118.3534687,low,Sunday,16,4
"PALOS VERDES ST, Los Angeles",72282,40,0.06,34.05223,-118.24368,low,Sunday,13,21
"PARALTA AV, Los Angeles",867,45,5.19,34.1664914,-118.5908522,low,Thursday,8,1
"PARK GROVE AV, Los Angeles",39584,11,0.03,34.0339904,-118.2776768,low,Tuesday,1,21
"PARK WESTERN DR, Los Angeles",34621,6,0.02,33.7550627,-118.3038579,low,Saturday,22,4
"PARKMAN AV, Los Angeles",355,29,8.17,34.0825625,-118.2736265,low,Saturday,18,15
"PARTHENIA ST, Los Angeles",651529,16,0.0,34.2282755,-118.4548744,low,Thursday,16,3
"PASADENA AV, Los Angeles",47029,2073,4.41,34.0748979,-118.2196164,low,Friday,12,12
"PASEO DEL MAR, Los Angeles",2029,227,11.19,33.7962097,-118.4045414,low,Friday,7,4
"PATTON AV, Los Angeles",45134,64,0.14,34.0597342,-118.4634248,low,Saturday,18,19
"PATTON ST, Los Angeles",42432,24,0.06,34.0656157,-118.2589899,low,Friday,13,21
"PAXTON ST, Los Angeles",5433,8,0.15,34.2776908,-118.4206744,low,Tuesday,18,3
"PENFIELD AV, Los Angeles",2566,572,22.29,34.1795421,-118.5688489,low,Friday,17,1
"PERSHING DR, Los Angeles",120828,41,0.03,33.9538503,-118.4406939,low,Thursday,17,2
"PICKFORD ST, Los Angeles",8213,117,1.42,34.0332202,-118.4339734,low,Sunday,1,7
"PIER A WY, Los Angeles",1246,5308,426.0,33.7765786,-118.2405833,high,Friday,2,4
"PIONEER AV, Los Angeles",1794,3,0.17,33.7908619,-118.249362,low,Monday,18,4
"PLATT AV, Los Angeles",34570,19,0.05,34.1917111,-118.6425667,low,Saturday,19,1
"PLAZA DEL SOL, Los Angeles",1610,227,14.1,34.0488359,-118.2269984,low,Friday,15,12
"PLUMMER ST, Los Angeles",70910,1,0.0,34.2429979,-118.4993893,low,Friday,17,14
"POLK ST, Los Angeles",104360,919,0.88,34.3129122,-118.4437557,low,Friday,2,3
"PONCE AV, Los Angeles",1450,369,25.45,34.2245592,-118.6214374,low,Tuesday,19,1
"PORTER ST, Los Angeles",24374,14,0.06,34.0266368,-118.2299236,low,Saturday,18,12
"PORTLAND ST, Los Angeles",1997,23,1.15,34.0317333,-118.2823485,low,Friday,15,21
"PRAIRIE ST, Los Angeles",92449,18,0.02,34.239211,-118.5709129,low,Wednesday,15,14
"PRESIDENT AV, Los Angeles",2433,118,4.85,33.8027476,-118.3033508,low,Thursday,9,4
"PRESIDENT ST, Los Angeles",596,43,7.21,34.0974574,-117.7152744,low,Friday,13,5
"PROCTOR ST, Los Angeles",134,4,2.99,33.7950747,-118.256595,low,Saturday,9,4
"Q ST, Los Angeles",2615,3,0.11,34.0471462,-118.2559621,low,Sunday,16,21
"QUAKERTOWN AV, Los Angeles",1133,36,3.18,34.2439316,-118.5704979,low,Saturday,9,14
"QUAY AV, Los Angeles",1618,22,1.36,33.7750395,-118.2581278,low,Sunday,17,4
"R ST, Los Angeles",4272,15,0.35,34.1972182,-118.4893829,low,Thursday,16,16
"RADFORD AV, Los Angeles",25020,20,0.08,34.1789338,-118.3921977,low,Friday,17,9
"RANCHITO AV, Los Angeles",766,122,15.93,34.1627105,-118.4356142,low,Friday,17,16
"RANGE VIEW AV, Los Angeles",858,151,17.6,34.1228326,-118.1953995,low,Friday,13,0
"RAYEN ST, Los Angeles",114895,8,0.01,34.2320217,-118.4849537,low,Friday,13,14
"RAYMOND AV, Los Angeles",27740,246,0.89,33.9618435,-118.2976142,low,Tuesday,12,10
"RAYNETA DR, Los Angeles",1878,134,7.14,34.1447705,-118.4624153,low,Tuesday,8,16
"READING AV, Los Angeles",32810,6,0.02,33.9572902,-118.3815988,low,Monday,14,2
"REDESDALE AV, Los Angeles",48830,14,0.03,34.0887907,-118.2708647,low,Wednesday,18,15
"REDONDO BEACH BL, Los Angeles",75544,5,0.01,33.8455911,-118.3886766,low,Friday,15,2
"REDONDO BL, Los Angeles",78365,157,0.2,33.8568355,-118.3836816,low,Thursday,9,2
"RENNIE AV, Los Angeles",520,236,45.38,33.99868,-118.4739072,medium,Tuesday,16,19
"RESEDA BL, Los Angeles",776236,5,0.0,34.2006552,-118.536528,low,Monday,4,14
"REVERE AV, Los Angeles",15917,3177,19.96,34.1223274,-118.260751,low,Friday,13,15
"REVERE ST, Los Angeles",2711,33,1.22,34.1223274,-118.260751,low,Friday,9,15
"RHODES AV, Los Angeles",223,1,0.45,34.2166214,-118.4030849,low,Thursday,7,9
"RIDGELEY DR, Los Angeles",614,50,8.14,34.0503484,-118.3550819,low,Friday,1,17
"RIMPAU BL, Los Angeles",108840,79,0.07,34.0572426,-118.3336169,low,Wednesday,18,6
"RINALDI ST, Los Angeles",75952,182,0.24,34.2796123,-118.4549206,low,Wednesday,8,3
"RIPPLE ST, Los Angeles",4969,1157,23.28,34.1014423,-118.2477884,low,Tuesday,6,15
"RIVERDALE AV, Los Angeles",1201,35,2.91,34.0903978,-118.2354619,low,Monday,12,15
"RIVERSIDE DR, Los Angeles",309941,4,0.0,34.1522531,-118.3676715,low,Monday,1,9
"ROBERTSON BL, Los Angeles",83826,1724,2.06,34.0483437,-118.3859111,low,Sunday,1,7
